rainfall_1h,rainfall_3h,rainfall_6h,soil_moisture,slope,elevation,land_cover,drainage_density,antecedent_rainfall,flood_occurred
47.75,54.65,95.51,0.623,34.1,1157.0,urban,0.54,58.37,0
56.58,132.17,151.67,0.663,14.6,591.0,urban,0.81,79.65,1
45.36,98.83,116.72,0.521,14.7,764.0,forest,0.211,46.03,0
29.6,98.71,118.74,0.624,48.4,1185.0,agriculture,0.659,47.58,0
6.28,57.35,56.05,0.497,8.7,1407.0,forest,0.319,30.04,0
30.63,99.7,88.29,0.641,44.5,761.0,urban,0.56,76.38,0
85.27,173.47,234.87,0.92,15.4,738.0,bare_soil,0.326,195.28,1
6.88,15.12,54.28,0.428,16.6,1531.0,bare_soil,0.563,24.56,0
66.88,129.67,204.69,0.706,37.4,1853.0,agriculture,0.257,113.56,1
12.69,48.7,62.0,0.337,39.4,1520.0,agriculture,0.6,16.22,0
4.32,6.45,7.51,0.073,46.8,1320.0,agriculture,1.0,19.24,0
29.43,52.01,132.94,0.568,50.8,690.0,urban,0.708,79.09,0
13.33,45.16,80.75,0.349,19.4,1912.0,agriculture,0.64,44.68,0
31.01,66.16,147.91,0.551,54.4,1452.0,urban,0.531,70.88,1
66.89,135.6,146.28,0.737,26.9,1517.0,forest,0.979,144.21,1
28.38,57.92,118.56,0.588,54.6,1861.0,urban,0.294,45.59,0
62.81,106.41,196.78,0.845,32.6,1014.0,agriculture,0.607,89.5,1
75.24,106.57,193.2,0.704,30.4,1713.0,grassland,0.439,144.74,0
25.2,76.93,104.16,0.588,27.8,915.0,forest,0.758,72.61,0
28.17,88.78,83.06,0.636,45.6,1018.0,bare_soil,0.857,82.31,1
5.02,11.8,26.09,0.269,31.3,1131.0,bare_soil,0.528,8.81,0
25.4,73.47,147.84,0.535,37.5,1763.0,agriculture,0.887,81.56,0
71.58,142.34,132.87,0.617,51.0,1996.0,bare_soil,0.547,120.49,1
6.34,17.45,13.31,0.224,7.3,1674.0,grassland,0.5,18.07,0
47.74,58.5,85.53,0.668,17.0,1861.0,forest,0.569,77.18,0
11.38,15.42,77.3,0.52,12.9,1107.0,grassland,0.67,43.88,0
26.13,23.96,50.01,0.395,33.6,1320.0,agriculture,0.436,21.86,0
102.91,149.21,230.93,0.908,7.5,1370.0,urban,0.923,177.02,1
32.33,81.83,123.46,0.619,38.0,1741.0,bare_soil,0.923,83.26,1
30.81,72.04,120.57,0.633,19.8,1596.0,forest,0.306,45.41,0
51.97,91.52,97.99,0.656,45.3,1594.0,grassland,0.292,68.91,0
77.04,197.66,257.41,0.917,53.4,1687.0,grassland,0.833,198.19,1
43.55,83.62,120.92,0.656,10.4,774.0,forest,0.907,96.42,0
52.03,61.07,84.43,0.656,20.1,1053.0,forest,0.957,94.56,0
8.87,2.71,13.61,0.218,52.3,1071.0,bare_soil,0.324,14.86,0
7.48,37.02,51.53,0.535,23.5,1109.0,agriculture,0.884,11.64,0
54.22,67.93,107.87,0.497,47.4,1128.0,bare_soil,0.713,47.33,1
20.75,89.34,97.05,0.481,8.4,1624.0,forest,0.373,73.87,0
9.01,0.06,25.75,0.086,17.5,679.0,bare_soil,0.221,2.6,0
7.9,4.76,9.71,0.094,42.1,1242.0,bare_soil,0.581,1.05,0
5.04,18.91,1.3,0.246,31.1,1133.0,agriculture,0.249,17.34,0
34.06,84.3,114.32,0.677,9.0,1373.0,forest,0.42,44.41,0
29.87,38.88,54.49,0.432,40.1,1764.0,bare_soil,0.815,14.96,0
52.53,117.09,148.28,0.685,25.8,552.0,grassland,0.732,106.28,1
73.36,188.22,188.39,0.772,45.6,1290.0,urban,0.649,176.49,1
8.06,30.91,68.25,0.475,41.1,1949.0,bare_soil,0.481,53.4,0
27.85,55.41,139.18,0.542,33.7,1692.0,agriculture,0.98,85.76,0
66.48,128.56,132.1,0.832,18.4,689.0,bare_soil,0.447,136.36,1
64.82,114.05,141.35,0.758,42.3,744.0,grassland,0.473,72.45,1
23.04,49.96,61.89,0.275,12.9,1389.0,bare_soil,0.418,12.63,0
11.83,48.97,32.4,0.379,38.9,1179.0,bare_soil,0.236,24.16,0
19.98,15.35,44.59,0.313,17.8,925.0,forest,0.798,16.86,0
62.51,140.0,194.5,0.618,7.1,430.0,agriculture,0.89,138.94,1
40.07,85.47,109.24,0.479,21.2,1682.0,bare_soil,0.866,41.25,0
53.52,125.33,171.92,0.699,22.0,933.0,forest,0.608,94.82,1
5.1,18.12,10.48,0.232,45.8,778.0,forest,0.358,16.38,0
26.2,88.64,114.59,0.639,27.4,1879.0,urban,0.708,85.59,0
50.25,81.36,90.57,0.467,20.1,839.0,forest,0.606,66.53,0
8.32,1.53,25.93,0.264,30.4,1140.0,urban,0.833,12.3,0
60.74,138.59,182.15,0.68,12.5,499.0,forest,0.919,108.05,1
26.04,62.39,110.64,0.56,12.9,997.0,grassland,0.527,71.36,0
19.95,50.52,67.07,0.27,38.9,855.0,bare_soil,0.725,14.73,0
19.57,21.36,47.74,0.54,24.6,1352.0,agriculture,0.448,44.92,0
24.79,51.59,68.56,0.499,39.3,1242.0,bare_soil,0.539,46.94,0
10.35,57.65,56.61,0.318,8.9,1751.0,forest,0.817,16.88,0
75.93,92.26,156.94,0.792,23.8,660.0,agriculture,0.817,80.48,1
15.27,45.44,40.44,0.383,42.4,1118.0,urban,0.448,24.25,0
61.42,140.11,159.43,0.837,28.1,851.0,grassland,0.622,148.76,1
49.84,105.0,181.29,0.819,10.1,1753.0,agriculture,0.428,114.36,1
54.55,144.32,141.79,0.709,16.1,1122.0,grassland,0.221,145.71,1
29.86,31.87,26.83,0.529,37.5,1666.0,forest,0.43,51.96,0
69.36,98.33,186.44,0.712,9.0,809.0,agriculture,0.639,70.42,1
2.88,6.02,1.43,0.155,27.9,577.0,agriculture,0.677,15.88,0
5.15,4.84,4.31,0.157,17.0,1067.0,bare_soil,0.268,12.3,0
37.76,99.42,118.79,0.548,36.8,1970.0,grassland,0.213,68.21,0
57.07,133.98,180.26,0.793,21.6,471.0,urban,0.851,128.81,1
44.34,81.59,136.8,0.466,27.9,870.0,forest,0.36,86.57,1
9.33,10.31,29.67,0.186,42.7,706.0,grassland,0.825,5.07,0
3.68,17.79,22.3,0.274,53.7,1194.0,urban,0.939,7.73,0
48.04,86.35,85.52,0.601,32.3,914.0,forest,0.729,89.34,0
22.24,30.82,27.75,0.511,54.9,839.0,agriculture,0.958,27.63,0
6.38,7.27,24.03,0.22,12.1,1372.0,bare_soil,0.228,19.06,0
14.57,40.53,64.33,0.454,23.6,1621.0,urban,0.624,57.44,0
21.24,26.23,32.37,0.471,24.3,1299.0,grassland,0.408,34.95,0
27.91,37.1,32.97,0.506,49.9,1112.0,forest,0.746,32.6,0
56.19,110.85,135.2,0.736,47.6,1539.0,agriculture,0.71,141.31,1
2.01,2.78,23.71,0.057,23.4,1686.0,urban,0.69,11.08,0
3.09,19.99,21.57,0.181,46.2,518.0,agriculture,0.714,15.38,0
26.95,50.11,66.59,0.305,26.6,1857.0,forest,0.299,58.31,0
9.12,29.52,71.11,0.354,49.7,1753.0,grassland,0.708,57.05,0
18.34,37.62,35.96,0.532,37.9,1553.0,bare_soil,0.874,17.71,0
48.88,51.42,83.18,0.61,37.6,1627.0,grassland,0.711,74.61,0
28.92,36.73,77.3,0.455,8.6,496.0,grassland,0.587,24.87,0
20.17,29.07,71.69,0.47,53.8,609.0,grassland,0.649,53.04,0
11.2,19.36,43.86,0.365,17.4,1784.0,forest,0.462,40.77,0
30.95,88.16,114.88,0.579,20.4,437.0,agriculture,0.604,69.93,0
6.26,37.27,82.35,0.446,31.8,1755.0,grassland,0.906,33.53,0
71.73,111.96,162.05,0.743,32.7,518.0,urban,0.812,85.57,1
24.16,98.75,107.57,0.649,51.9,1608.0,forest,0.607,60.35,1
21.59,56.85,103.31,0.568,35.3,1225.0,grassland,0.69,67.42,0
55.47,110.18,196.26,0.733,20.0,1705.0,grassland,0.739,126.7,1
99.19,185.77,245.28,0.908,28.7,1947.0,bare_soil,0.821,112.4,1
25.97,81.45,123.38,0.66,39.0,451.0,agriculture,0.288,48.87,0
3.14,3.03,20.72,0.153,51.0,1797.0,bare_soil,0.25,15.5,0
21.56,38.65,45.39,0.302,22.1,967.0,bare_soil,0.777,55.61,0
44.27,80.5,93.46,0.512,16.2,1957.0,grassland,0.431,73.49,0
13.72,57.02,76.7,0.332,38.8,1008.0,agriculture,0.855,16.09,0
110.23,150.33,205.89,0.914,27.1,810.0,urban,0.362,141.17,1
24.8,80.78,121.08,0.511,31.6,1421.0,forest,0.531,80.19,0
48.52,136.25,130.41,0.738,25.3,1896.0,agriculture,0.582,144.33,1
21.15,55.86,30.81,0.422,41.2,1899.0,agriculture,0.34,36.76,0
51.15,145.18,209.77,0.699,51.8,1939.0,agriculture,0.901,109.63,1
9.83,5.69,29.67,0.186,51.9,1762.0,urban,0.354,9.88,0
1.62,9.18,7.72,0.097,44.5,1308.0,bare_soil,0.34,14.73,0
63.03,95.2,183.54,0.646,21.2,797.0,grassland,0.388,81.25,0
78.39,108.12,187.83,0.603,39.6,499.0,forest,0.445,122.29,1
69.62,108.66,139.39,0.829,35.7,751.0,forest,0.323,93.6,1
66.2,114.95,173.94,0.718,38.2,749.0,forest,0.804,113.0,1
22.59,18.51,61.67,0.269,30.3,1316.0,forest,0.462,37.38,0
24.07,60.27,120.82,0.473,45.4,1125.0,urban,0.565,70.62,0
70.31,113.76,195.32,0.786,7.3,951.0,forest,0.995,116.26,1
73.45,195.36,182.86,0.844,43.3,1965.0,bare_soil,0.536,179.21,1
76.74,112.54,184.62,0.765,37.7,956.0,forest,0.63,113.14,1
45.48,61.13,80.24,0.456,38.7,1271.0,urban,0.859,57.9,0
28.44,47.63,32.33,0.493,43.3,1814.0,forest,0.365,30.96,0
0.34,11.96,21.1,0.062,25.1,775.0,forest,0.891,14.81,0
25.39,47.92,45.73,0.429,21.0,883.0,forest,0.728,43.63,0
12.51,17.74,86.65,0.514,36.3,1084.0,urban,0.978,55.58,0
56.16,114.98,141.94,0.694,28.7,1759.0,grassland,0.766,130.35,1
77.02,123.74,207.42,0.739,17.1,725.0,bare_soil,0.938,80.73,1
51.67,106.11,183.89,0.751,14.4,1619.0,bare_soil,0.647,139.89,1
50.43,66.65,146.99,0.454,53.1,588.0,agriculture,0.583,96.23,1
27.88,39.84,75.41,0.364,23.0,818.0,urban,0.598,36.68,0
9.81,9.39,25.19,0.279,25.7,1300.0,forest,0.317,7.41,0
34.62,57.62,103.09,0.545,30.0,1447.0,bare_soil,0.406,90.0,1
78.83,128.5,169.25,0.642,13.5,1553.0,urban,0.934,133.6,1
0.34,16.93,28.36,0.217,25.6,1748.0,forest,0.766,15.29,0
5.06,7.46,18.54,0.217,29.2,1181.0,forest,0.641,12.33,0
29.44,15.77,77.86,0.452,50.5,571.0,forest,0.319,50.31,0
18.16,51.68,42.38,0.369,25.3,1304.0,agriculture,0.381,28.65,0
50.04,87.98,86.55,0.545,7.8,415.0,forest,0.6,73.16,0
24.61,40.46,80.77,0.279,7.1,738.0,agriculture,0.91,36.41,0
9.26,17.99,16.91,0.058,20.7,1938.0,urban,0.802,18.58,0
58.94,94.62,143.0,0.66,24.5,1834.0,grassland,0.804,136.77,1
62.53,148.46,134.3,0.709,22.0,1630.0,agriculture,0.517,137.09,1
46.04,106.4,209.41,0.723,52.1,1091.0,bare_soil,0.729,98.46,1
69.96,94.92,142.34,0.778,42.0,907.0,forest,0.204,120.71,1
14.0,27.14,33.61,0.306,32.7,1053.0,forest,0.483,32.44,0
14.63,28.13,50.21,0.275,50.3,1965.0,urban,0.336,55.06,0
8.47,28.55,57.05,0.269,26.1,1175.0,forest,0.401,31.73,0
26.84,55.35,101.33,0.687,36.0,1687.0,grassland,0.468,59.93,0
75.08,148.45,140.89,0.68,15.0,903.0,agriculture,0.975,145.78,1
40.16,62.12,106.32,0.654,10.7,1302.0,urban,0.637,63.58,1
39.25,97.65,112.31,0.627,19.6,1509.0,agriculture,0.837,66.31,0
28.47,82.93,130.07,0.647,54.5,1167.0,grassland,0.605,44.44,1
104.59,168.06,251.16,0.833,31.8,1421.0,forest,0.815,190.6,1
21.55,99.18,127.42,0.55,53.3,1089.0,forest,0.407,85.16,0
38.16,79.03,120.27,0.561,43.6,1342.0,urban,0.476,63.47,1
29.04,20.22,86.14,0.293,27.8,731.0,urban,0.581,25.59,0
22.42,29.35,44.52,0.493,47.5,1437.0,bare_soil,0.331,15.75,0
9.0,40.19,87.3,0.32,14.2,1425.0,grassland,0.223,30.25,0
26.91,79.61,107.22,0.626,42.6,1694.0,forest,0.281,52.35,0
16.44,26.81,81.07,0.408,34.8,1378.0,urban,0.478,41.96,0
66.61,138.82,186.48,0.674,9.2,614.0,forest,0.444,119.16,1
34.64,56.89,106.86,0.496,39.7,1432.0,agriculture,0.644,78.13,1
24.91,65.73,111.57,0.463,5.5,618.0,agriculture,0.971,61.54,0
34.55,91.99,114.21,0.471,43.1,867.0,grassland,0.63,41.85,0
16.43,48.41,74.78,0.415,10.7,1640.0,agriculture,0.493,15.66,0
64.12,149.39,138.19,0.808,19.9,1999.0,grassland,0.479,130.11,1
60.37,149.64,192.05,0.659,34.4,961.0,bare_soil,0.706,134.86,1
10.17,17.67,47.8,0.334,21.2,1526.0,grassland,0.414,36.94,0
79.49,130.76,137.62,0.841,50.9,1988.0,agriculture,0.302,132.86,1
74.0,135.69,184.1,0.722,18.4,1063.0,urban,0.707,116.19,1
48.26,120.94,152.26,0.834,52.5,924.0,forest,0.819,99.53,1
43.25,67.91,84.43,0.584,26.5,739.0,grassland,0.863,53.07,0
19.45,40.48,56.55,0.353,7.4,559.0,bare_soil,0.568,44.13,0
5.02,58.11,38.15,0.457,37.5,654.0,agriculture,0.419,16.6,0
28.76,68.59,143.27,0.491,20.3,1519.0,forest,0.724,63.78,0
24.64,61.31,127.6,0.452,45.9,1981.0,grassland,0.306,81.74,0
3.83,14.62,3.07,0.128,11.9,1638.0,bare_soil,0.307,17.62,0
20.3,82.5,110.81,0.631,12.6,1059.0,bare_soil,0.888,77.68,0
1.0,15.05,17.69,0.146,20.7,624.0,grassland,0.267,19.26,0
47.26,84.52,139.35,0.615,30.9,1215.0,bare_soil,0.436,58.1,0
8.98,19.09,14.85,0.078,34.7,1245.0,agriculture,0.99,9.99,0
64.89,111.92,184.64,0.791,43.5,427.0,forest,0.41,146.36,1
0.6,15.79,15.2,0.207,25.8,1523.0,forest,0.629,10.02,0
17.78,24.14,77.52,0.411,36.7,1735.0,bare_soil,0.253,29.54,0
45.55,92.32,84.05,0.472,27.7,1374.0,grassland,0.793,66.07,0
69.55,99.83,206.24,0.731,41.0,667.0,forest,0.825,132.64,1
27.16,49.71,26.91,0.492,8.2,1540.0,urban,0.262,23.6,0
39.84,68.38,97.86,0.476,41.1,765.0,urban,0.235,74.43,0
53.56,118.31,160.64,0.638,47.9,1285.0,agriculture,0.793,144.49,1
23.01,27.21,30.06,0.362,50.1,687.0,agriculture,0.985,35.1,0
73.45,162.56,205.41,0.944,32.7,413.0,forest,0.651,139.46,1
40.71,74.67,134.08,0.499,43.0,792.0,forest,0.528,94.03,1
